business_id,business_seed,truth_seed,module_order,evidence_group,population,gross_margin,price,market_trend,season_amplitude,social_planning_correlation,social_budget,social_growth,social_unit_cost,social_hill_ec,social_hill_slope,search_budget,search_growth,search_ctr_scale,tv_budget,tv_growth,tv_hill_ec,tv_hill_slope,tv_lag_weeks,demand_scale,experiment_bias_share
amss-v10-001,710001,910001,paid_social_proxy|search|tv,paid-social-experiment,249200000,0.53025,68.17,0.7832,0.3506,0.23025,19975000,0.0685,0.00634,1.647,1.622,24665000,0.04725,0.932,76425000,0.1057,2.087,1.7285,1,1.1785,0.059
amss-v10-002,710002,910002,paid_social_proxy|tv|search,search-experiment,167600000,0.46025,125.13,0.5464,0.2106,0.59875,34675000,-0.0095,0.00886,2.193,1.838,16845000,0.00175,1.164,35725000,0.0441,1.823,1.2555,4,1.2555,0.097
amss-v10-003,710003,910003,search|paid_social_proxy|tv,tv-experiment,273200000,0.45675,67.33,0.6136,0.1406,0.23575,37475000,0.0055,0.01126,3.857,1.598,9255000,0.16625,1.108,54425000,0.0287,1.493,1.4535,8,0.8425,-0.001
amss-v10-004,710004,910004,search|tv|paid_social_proxy,no-experiment,297200000,0.68425,63.08,0.6552,0.1266,0.74175,12975000,0.1855,0.01114,1.413,1.634,14775000,0.00525,0.644,68725000,0.0595,2.725,1.4315,1,1.0175,-0.077
amss-v10-005,710005,910005,tv|search|paid_social_proxy,paid-social-experiment,314000000,0.63175,59.67,0.6808,0.1742,0.45575,22425000,0.2005,0.01234,3.493,1.022,8105000,0.08575,1.092,48925000,-0.0087,1.427,1.4095,6,0.7095,0.069
amss-v10-006,710006,910006,paid_social_proxy|search|tv,search-experiment,311600000,0.51975,60.52,0.6488,0.3226,0.38425,16825000,-0.0035,0.00694,3.519,1.454,18225000,0.16975,0.652,37925000,-0.0527,1.647,1.6185,0,0.9265,0.043
amss-v10-007,710007,910007,paid_social_proxy|tv|search,tv-experiment,237200000,0.41475,113.22,0.7736,0.2078,0.42825,14025000,0.2275,0.01066,2.609,1.13,7645000,0.28175,1.22,28575000,-0.0021,1.977,1.6405,3,0.7725,0.039
amss-v10-008,710008,910008,search|paid_social_proxy|tv,no-experiment,129200000,0.53375,108.97,0.7672,0.2526,0.34575,23125000,0.2395,0.00874,2.479,1.994,26045000,0.22225,1.172,58275000,-0.0813,1.735,0.8265,10,0.9195,-0.085
amss-v10-009,710009,910009,tv|paid_social_proxy|search,paid-social-experiment,294800000,0.52325,89.43,0.5112,0.2778,0.47775,28025000,0.0895,0.00898,3.311,1.778,17765000,0.09275,0.908,48375000,-0.0967,1.471,1.6845,7,1.3115,0.099
amss-v10-010,710010,910010,tv|search|paid_social_proxy,search-experiment,134000000,0.67025,120.03,0.5336,0.2918,0.57125,10875000,0.0085,0.01378,2.037,1.178,19835000,0.33775,1.332,76975000,0.0397,2.923,1.1895,10,1.3255,-0.041
