date,revenue,meta_acquisition_spend,google_search_nonbrand_spend,ctv_spend
2000-01-03,162999520,390952.027872578,0,506259.818003523
2000-01-10,178839520,743873.200672786,390046.8,683808.890274836
2000-01-17,175254800,814258.950507125,375461.9,887797.193715736
2000-01-24,153481840,351109.858398014,382101.5,0
2000-01-31,193850960,516338.457745342,463256.2,0
2000-02-07,182304240,577247.983404873,404712,1227708.45801955
2000-02-14,131887920,300343.604878863,321850.1,441546.056625617
2000-02-21,148231200,571846.522992953,347513.1,0
2000-02-28,112415840,523998.926905613,263313.6,0
2000-03-06,146813040,506259.137465773,338325.9,433902.187398722
2000-03-13,133197200,407521.366798645,324435.1,0
2000-03-20,151307440,420152.657891465,342754.5,1968976.09678572
2000-03-27,121512080,323956.039079284,0,0
2000-04-03,127306160,351051.164623283,0,1671398.22754583
2000-04-10,120096320,451546.069168869,287588.4,0
2000-04-17,117525600,666586.625952296,250943,1736960.55312129
2000-04-24,86348400,329156.952186494,212691.6,0
2000-05-01,88218320,223461.084984009,226241.4,0
2000-05-08,77297520,390575.398556451,187944.9,0
2000-05-15,83404480,497632.500813079,185815.3,1013420.75268567
2000-05-22,80988080,501991.214421641,190578.3,0
2000-05-29,58169840,107287.009758444,156977.7,10720.3348136053
2000-06-05,91678960,530389.250013896,214237.1,0
2000-06-12,69100320,217939.481180944,176591.8,0
2000-06-19,73739920,336603.266025488,178110.9,268134.741174686
2000-06-26,79008320,401194.156611546,0,0
2000-07-03,63875680,257221.152331906,0,2151321.33017247
2000-07-10,49069680,23433.5950207109,138787,0
2000-07-17,64316160,525432.529693133,150177.5,0
2000-07-24,79023520,289529.881538806,182591.2,2504562.41164469
2000-07-31,64725200,160188.352342411,170592.4,0
2000-08-07,65192800,111838.002694859,162981.5,3537336.83305726
2000-08-14,71489840,374135.55898446,173362.2,0
2000-08-21,98548080,386438.455000647,221083.5,5635306.0459289
2000-08-28,94205680,311232.162953273,234995.2,0
2000-09-04,84479920,179804.515578628,221080.2,0
2000-09-11,101542480,373780.801774575,229270.8,3216360.17026791
2000-09-18,99248640,464736.797849033,235919.2,0
2000-09-25,124711600,449354.790872628,0,2895229.92120941
2000-10-02,145057280,786911.375338249,0,0
2000-10-09,117667200,265459.436520636,275826.1,3450978.40699298
2000-10-16,136463200,554763.557489372,319920.7,0
2000-10-23,144749040,615579.406055822,311505.7,2012168.94711827
2000-10-30,150649120,428580.232282885,335599,3737761.47662165
