business_id,business_seed,truth_seed,module_order,evidence_group,population,gross_margin,price,market_trend,season_amplitude,social_planning_correlation,social_budget,social_growth,social_unit_cost,social_hill_ec,social_hill_slope,search_budget,search_growth,search_ctr_scale,tv_budget,tv_growth,tv_hill_ec,tv_hill_slope,tv_lag_weeks,demand_scale,experiment_bias_share
amss-v11c-001,1210001,1410001,paid_social_proxy|search|tv,paid-social-experiment,95600000,0.36925,127.67,0.7128,0.3646,0.57125,31175000,0.0715,0.01042,1.491,0.83,22825000,0.23625,0.892,76425000,-0.0923,2.395,1.5745,0,1.0735,0.033
amss-v11c-002,1210002,1410002,paid_social_proxy|tv|search,search-experiment,129200000,0.63175,118.33,0.6168,0.289,0.20825,16825000,0.0385,0.0085,3.519,0.926,9715000,0.13825,1.252,63775000,0.0903,1.625,1.3105,8,0.7025,0.047
amss-v11c-003,1210003,1410003,search|paid_social_proxy|tv,tv-experiment,150800000,0.37625,86.88,0.588,0.1266,0.66475,26625000,0.1195,0.00478,3.753,1.634,12705000,0.25725,0.948,25825000,0.0507,1.009,1.0685,6,0.7305,0.007
amss-v11c-004,1210004,1410004,search|tv|paid_social_proxy,no-experiment,230000000,0.39375,135.32,0.668,0.3674,0.41725,39925000,0.0685,0.0127,3.077,1.514,16155000,0.33425,0.692,29125000,-0.0945,1.933,0.8595,6,1.3045,0.009
amss-v11c-005,1210005,1410005,tv|search|paid_social_proxy,paid-social-experiment,254000000,0.47775,96.22,0.5976,0.2666,0.27975,19275000,-0.0275,0.01138,3.935,1.706,10175000,0.19075,0.916,47275000,0.0529,2.725,1.2115,10,1.1225,0.089
amss-v11c-006,1210006,1410006,paid_social_proxy|search|tv,search-experiment,299600000,0.62825,120.03,0.556,0.1294,0.59875,42025000,0.0325,0.01114,1.777,1.346,23055000,0.22225,0.62,47825000,0.0265,2.571,1.0795,3,0.8215,0.073
amss-v11c-007,1210007,1410007,paid_social_proxy|tv|search,tv-experiment,162800000,0.68775,81.78,0.6744,0.2974,0.23575,22775000,0.1135,0.0109,1.413,1.382,16615000,0.06125,0.708,64875000,-0.0395,1.537,0.8045,1,0.9125,-0.015
amss-v11c-008,1210008,1410008,search|paid_social_proxy|tv,no-experiment,107600000,0.40775,102.18,0.7864,0.149,0.31275,16475000,0.1225,0.0097,3.649,1.058,12935000,0.12775,0.836,74225000,0.1035,1.229,1.0355,5,1.3185,-0.045
amss-v11c-009,1210009,1410009,tv|paid_social_proxy|search,paid-social-experiment,297200000,0.58625,131.07,0.7896,0.1378,0.36775,22075000,0.1495,0.01366,2.765,1.118,6495000,0.17675,1.132,51125000,-0.0417,2.153,0.7385,6,1.1715,-0.031
amss-v11c-010,1210010,1410010,tv|search|paid_social_proxy,search-experiment,186800000,0.54775,95.38,0.8024,0.261,0.70325,29075000,0.2215,0.01594,3.441,1.418,22135000,0.15225,1.292,42875000,0.0683,1.273,1.5085,8,1.2345,0.097
amss-v11c-011,1210011,1410011,paid_social_proxy|search|tv,tv-experiment,316400000,0.42875,122.58,0.5304,0.2946,0.26875,28375000,0.0475,0.01246,3.623,1.154,16845000,0.10675,0.732,53875000,0.0397,0.965,0.9255,4,1.1085,-0.071
amss-v11c-012,1210012,1410012,paid_social_proxy|tv|search,no-experiment,102800000,0.68075,86.03,0.5464,0.2134,0.48325,44825000,0.0115,0.00982,1.933,0.806,23975000,0.01925,1.196,74775000,0.0749,1.339,1.0135,6,1.2065,-0.077
amss-v11c-013,1210013,1410013,search|tv|paid_social_proxy,paid-social-experiment,218000000,0.66325,90.28,0.6488,0.1546,0.64275,23475000,0.2155,0.01102,2.219,1.19,6265000,0.30625,0.9,59375000,-0.0439,2.461,1.5965,3,0.7865,0.029
amss-v11c-014,1210014,1410014,tv|paid_social_proxy|search,search-experiment,141200000,0.55825,107.28,0.7032,0.3786,0.36225,29775000,0.0895,0.00874,1.959,1.37,18455000,0.30975,0.668,54975000,-0.0637,1.889,0.7165,8,0.7935,0.035
amss-v11c-015,1210015,1410015,tv|search|paid_social_proxy,tv-experiment,309200000,0.51975,74.97,0.6872,0.2442,0.34575,27325000,0.0265,0.00994,3.883,0.938,19835000,0.34825,1.148,51675000,0.0771,1.691,1.2445,9,1.1785,-0.047
amss-v11c-016,1210016,1410016,paid_social_proxy|search|tv,no-experiment,98000000,0.46725,64.78,0.7512,0.2386,0.74175,29425000,0.1855,0.00886,3.415,0.878,24895000,0.13125,0.66,79725000,-0.0769,0.833,1.6185,1,0.6605,0.001
amss-v11c-017,1210017,1410017,search|paid_social_proxy|tv,paid-social-experiment,153200000,0.36225,58.83,0.5592,0.303,0.52175,37825000,0.2485,0.00922,3.493,1.25,14775000,0.24325,0.748,72575000,-0.0219,2.285,1.7285,2,1.0385,0.013
amss-v11c-018,1210018,1410018,search|tv|paid_social_proxy,search-experiment,88400000,0.60725,68.17,0.6936,0.2778,0.40625,23125000,0.2095,0.0115,1.725,0.902,21675000,0.26075,1.18,36825000,-0.0835,2.549,1.6075,6,0.8145,-0.063
amss-v11c-019,1210019,1410019,tv|paid_social_proxy|search,tv-experiment,311600000,0.57225,71.58,0.6424,0.2806,0.63725,14025000,0.1975,0.00418,1.855,1.922,17535000,0.31675,1.164,62675000,0.0133,2.263,0.8815,3,0.9195,0.065
amss-v11c-020,1210020,1410020,tv|search|paid_social_proxy,no-experiment,83600000,0.64575,69.88,0.78,0.121,0.63175,15425000,0.0985,0.01474,2.505,0.962,22365000,0.07175,0.876,54425000,-0.0967,1.097,0.7825,6,1.1505,0.077
amss-v11c-021,1210021,1410021,paid_social_proxy|tv|search,paid-social-experiment,287600000,0.57925,98.78,0.5272,0.1854,0.68125,24525000,0.2455,0.01534,2.999,0.818,5345000,0.23275,1.244,37925000,0.1079,2.593,1.4975,4,0.7515,-0.039
